No,Code,Company Name,Listing Date,Shares,Listing Board
26,APII,Arita Prima Indonesia Tbk.,29 Oct 2013,"1,075,760,000",Development
27,APLI,Asiaplast Industries Tbk.,01 May 2000,"1,362,671,400",Development
28,APLN,Agung Podomoro Land Tbk.,11 Nov 2010,"22,699,326,779",Main
29,ARGO,Argo Pantes Tbk,07 Jan 1991,"3,174,339,029",Development
30,ARII,Atlas Resources Tbk.,08 Nov 2011,"3,750,000,000",Development
31,ARNA,Arwana Citramulia Tbk.,17 Jul 2001,"7,341,430,976",Main
32,ARTA,Arthavest Tbk,05 Nov 2002,"446,674,175",Development
33,ARTI,Ratu Prabu Energi Tbk,30 Apr 2003,"7,840,000,000",Watchlist
34,ARTO,Bank Jago Tbk.,12 Jan 2016,"13,722,768,400",Main
35,ASBI,Asuransi Bintang Tbk.,29 Nov 1989,"348,386,472",Development
36,ASDM,Asuransi Dayin Mitra Tbk.,15 Dec 1989,"384,000,000",Development
37,ASGR,Astra Graphia Tbk.,15 Nov 1989,"1,348,780,500",Main
38,ASII,Astra International Tbk.,04 Apr 1990,"40,483,553,140",Main
39,ASJT,Asuransi Jasa Tania Tbk.,23 Dec 2003,"1,400,000,000",Development
40,ASMI,Asuransi Maximus Graha Persada,16 Jan 2014,"8,958,380,460",Watchlist
41,ASRI,Alam Sutera Realty Tbk.,18 Dec 2007,"19,649,411,888",Main
42,ASRM,Asuransi Ramayana Tbk.,19 Mar 1990,"1,277,992,036",Development
43,ASSA,Adi Sarana Armada Tbk.,12 Nov 2012,"3,691,137,517",Main
44,ATIC,Anabatic Technologies Tbk.,08 Jul 2015,"2,315,361,355",Development
45,AUTO,Astra Otoparts Tbk.,15 Jun 1998,"4,819,733,000",Main
46,BABP,Bank MNC Internasional Tbk.,15 Jul 2002,"44,014,333,126",Development
47,BACA,Bank Capital Indonesia Tbk.,04 Oct 2007,"19,753,494,636",Main
48,BAJA,Saranacentral Bajatama Tbk.,21 Dec 2011,"1,800,000,000",Development
49,BALI,Bali Towerindo Sentra Tbk.,13 Mar 2014,"3,934,592,500",Main
50,BAPA,Bekasi Asri Pemula Tbk.,14 Jan 2008,"661,784,520",Development
51,BATA,Sepatu Bata Tbk.,24 Mar 1982,"1,300,000,000",Watchlist
52,BAYU,Bayu Buana Tbk,30 Oct 1989,"353,220,780",Main
53,BBCA,Bank Central Asia Tbk.,31 May 2000,"122,042,299,500",Main
54,BBHI,Allo Bank Indonesia Tbk.,12 Agt 2015,"21,512,953,877",Main
55,BBKP,Bank KB Indonesia Tbk.,10 Jul 2006,"185,819,884,852",Development
56,BBLD,Buana Finance Tbk.,07 May 1990,"1,645,796,054",Development
57,BBMD,Bank Mestika Dharma Tbk.,08 Jul 2013,"4,049,189,100",Development
58,BBNI,Bank Negara Indonesia (Persero,25 Nov 1996,"36,924,339,786",Main
